Identifier,City,Province/Territory,Calculated Exposure Day 7,Radon(mrem),External Terrestrial (mrem),Cosmic (mrem),Ingestion (mrem),Total (mrem)
009d1d48-27ab-4446-b20a-b67855ff8e8b,Camrose,Alberta,0.021276596,314.5,45,27.2,30.6,417.2787234
02127c7f-69ce-41ee-ae58-402c405b5e49,Port Dover,Ontario,0.081632653,314.5,17.8,35,30.6,397.8183673
4cbad0d3-9069-474f-93ad-0582c6930118,Port Dover,Ontario,0.12244898,314.5,17.8,35,30.6,397.777551
024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,Strathroy,Ontario,0.02173913,314.5,17.8,35,30.6,397.8782609
024f89b4-ea85-48e7-b2ee-8f4f752ddbe9,Strathroy,Ontario,0.043478261,314.5,17.8,35,30.6,397.8565217
02af2a79-c8f7-4353-9163-8755a007df08,Bridgewater,Nova Scotia,0.083333333,62.9,33.3,32.5,30.6,159.2166667
0b35e95b-f234-4bdd-b0b0-4048847dfe28,Bridgewater,Nova Scotia,0.017,62.9,33.3,32.5,30.6,159.283
0b35e95b-f234-4bdd-b0b0-4048847dfe28,Bridgewater,Nova Scotia,0.034,62.9,33.3,32.5,30.6,159.266
0b35e95b-f234-4bdd-b0b0-4048847dfe28,Bridgewater,Nova Scotia,0.03448,62.9,33.3,32.5,30.6,159.26552
0b35e95b-f234-4bdd-b0b0-4048847dfe28,Bridgewater,Nova Scotia,0.051724,62.9,33.3,32.5,30.6,159.248276
046634f4-6cb6-407d-9182-dffdf7095e79,Limoges,Ontario,0.043859649,62.9,24,35,30.6,152.4561404
0543fb07-06e0-4eca-8cb4-771e4745e8be,Waterloo,Ontario,0.113,314.5,17.8,35,30.6,397.787
0c57809b-4876-4fdd-a535-974a827e7dab,Waterloo,Ontario,0.11,314.5,17.8,35,30.6,397.79
063292af-2a6b-416f-b021-5e75ad887657,Hanover,Ontario,0.076923077,314.5,17.8,35,30.6,397.8230769
0a341b7f-3663-4a85-896a-de92001479e0,Stonewall,Manitoba,0.115384615,62.9,17.6,40,30.6,150.9846154
0a341b7f-3663-4a85-896a-de92001479e0,Stonewall,Manitoba,0.115384615,62.9,17.6,40,30.6,150.9846154
0a341b7f-3663-4a85-896a-de92001479e0,Stonewall,Manitoba,0.28846,62.9,17.6,40,30.6,150.81154
0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,Ottawa,Ontario,0.068181818,62.9,24,35,30.6,152.4318182
306cd52f-3cb5-4ac9-b5e5-f92371c34ba2,Ottawa,Ontario,0.0416666,62.9,24,35,30.6,152.4583334
4a18ec7e-d7a8-4cd0-8d1d-8f02893c05ad,Ottawa,Ontario,0.05,62.9,24,35,30.6,152.45
4f2d7442-d915-4040-ac04-d43462aac4e8,Ottawa,Ontario,0.04166667,62.9,24,35,30.6,152.4583333
627d6cf1-94ac-4e77-8b6f-7f7b752ab12f,Ottawa,Ontario,0.0625,62.9,24,35,30.6,152.4375
